code,name,board_type,subtype,source,cid,updated_at
BK1283,银行,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1282,饮料乳品,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1281,休闲食品,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1280,食品加工,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1279,非白酒,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1278,调味发酵品Ⅱ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1277,白酒Ⅱ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1276,油气开采Ⅱ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1275,油服工程,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1274,炼化及贸易,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1273,体育Ⅱ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1272,旅游及景区,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1271,酒店餐饮,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1270,专业连锁Ⅱ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1269,旅游零售Ⅱ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1268,互联网电商,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1267,造纸,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1266,文娱用品,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1265,包装印刷,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1264,商用车,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1263,摩托车及其他,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1262,乘用车,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1261,种植业,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1260,渔业,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1259,养殖业,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1258,饲料,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1257,农业综合Ⅱ,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1256,农产品加工,industry,industry,eastmoney,,2026-07-20 21:15:26
BK1255,林业Ⅱ,industry,industry,eastmoney,,2026-07-20 21:15:26
